change_type
Edit Line Item
Add List Item
Delete Module
Bulk data change
Bulk data change (add-in)
Bulk Model Change
Model change (no details available)
Create Dashboard
Rename Action
Breakback data change affecting [x] cells
Begin sync revision
Sync revision completed
Sync revision unsuccessful
Add
Edit
Delete
Create
Rename
Other
Add Dashboard
Add Export
Add Import Data Source
Add Line Item
Add Line Item Read Access Driver Write Access Driver
Add List
Add Module
Add Module Read Access Driver Write Access Driver
Add Process
Add Property
Add Saved View
Add User
Change Dashboard
Change Export
Change Import
Change Import Data Source
Change Line Item
Change List
Change Process
Change Property
Change Time Scale
Code Changed
Data Change
Delete Import Data Source
Delete List
Delete User
Import
Name Changed
Revision Added Manually by User
Revision Synced
x Item(s) Added
x Item(s) Deleted
x User(s) Deleted
